05-Mar 11:41:52,-1.385124513e-10,1.379783657806056e-11
05-Mar 11:42:58,-1.30763171e-10,8.8725379930457e-12
05-Mar 11:44:48,-1.62395076e-10,1.3439370551842123e-11
05-Mar 11:45:13,-1.42461226e-10,8.537819634357012e-12
05-Mar 11:46:46,-1.92780586e-10,2.070174438293956e-11
05-Mar 11:47:11,-1.50276193e-10,9.865959057962123e-12
05-Mar 11:48:53,-2.45422239e-10,4.161417072328179e-11
05-Mar 11:49:18,-1.59676323e-10,7.192016706111077e-12
05-Mar 11:51:17,-3.60053746e-10,9.067064534919267e-11
05-Mar 11:51:58,-1.67776154e-10,7.864043545848022e-12
05-Mar 11:54:00,-4.57741719e-10,1.4404372747229807e-10
05-Mar 11:54:31,-1.67985695e-10,7.263308952235979e-12
05-Mar 11:56:13,-5.89859503e-10,1.9397728765360597e-10
05-Mar 11:56:49,-1.73973478e-10,8.762033174649166e-12
