05-Mar 13:03:35,-8.02636296E-10,2.88355886933292E-10
05-Mar 13:05:28,-1.59353629E-10,1.42906532507083E-11
05-Mar 13:06:30,-7.71922377E-10,3.28069405124192E-10
05-Mar 13:06:44,-1.55787309E-10,1.1764333408686E-11
05-Mar 13:07:30,-7.87580075E-10,3.30433011310837E-10
05-Mar 13:07:45,-1.57532617E-10,1.07558009251109E-11
05-Mar 13:08:31,-8.51807001E-10,3.31003141050288E-10
05-Mar 13:09:57,-1.54824955E-10,1.10590185991542E-11
05-Mar 13:10:50,-8.18193068E-10,3.34054463501756E-10
05-Mar 13:11:01,-1.55018216E-10,1.42414615208355E-11
05-Mar 13:12:08,-9.36641165E-10,4.02178731019965E-10
05-Mar 13:12:23,-1.51859465E-10,1.14297670449177E-11
05-Mar 13:15:22,-1.051493133E-09,4.32502430006133E-10
05-Mar 13:15:39,-1.51430759E-10,1.12841724967399E-11
